INDEX,TARGET,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
34,5125,0,47,0,11,44705.21281,No,217885.0948,Yes,z_F,Bachelors,Professional,50.0889763,Private,12840,1,z_SUV,no,1533,2,No,0,10,Highly Urban/ Urban
35,5085,0,64,0,15,31738.35627,No,197010.1846,Yes,M,<High School,z_Blue Collar,23.28684117,Commercial,14620,6,z_SUV,no,3994,2,No,0,1,Highly Urban/ Urban
36,2143,0,52,0,7,64013.81632,No,244862.5221,Yes,M,<High School,z_Blue Collar,32.71723445,Commercial,7900,4,Pickup,yes,8882,3,No,1,5,Highly Urban/ Urban
38,4028,0,26,0,8,53244.41283,No,0,z_No,M,Bachelors,Professional,27.55140242,Commercial,20920,3,Van,yes,6224,1,No,1,8,Highly Urban/ Urban
40,8671,1,38,1,12,37579.71165,No,173495.3221,Yes,z_F,<High School,Clerical,35.81813031,Private,5260,7,z_SUV,no,867,2,No,0,1,Highly Urban/ Urban
41,6287,0,41,2,15,23344.16706,No,147172.1553,Yes,M,z_High School,z_Blue Collar,9.92626961,Private,7930,1,Pickup,no,0,0,No,1,1,Highly Urban/ Urban
42,3524,0,41,0,12,110386.4044,No,335488.1069,Yes,M,Masters,,21.15953978,Commercial,16640,1,Van,yes,0,0,No,2,14,Highly Urban/ Urban
43,1807,1,43,2,11,76158.64499,Yes,0,z_No,z_F,Bachelors,Professional,52.42306084,Private,19750,4,z_SUV,no,0,0,Yes,0,NA,Highly Urban/ Urban
44,10593.94663,0,42,0,0,0,No,NA,z_No,M,<High School,Student,46.93284039,Commercial,5700,11,Pickup,yes,0,0,No,5,1,Highly Urban/ Urban
45,6158,0,43,2,15,49848.95817,Yes,0,z_No,z_F,Masters,Lawyer,35.02097056,Private,13130,1,z_SUV,no,3622,3,No,4,20,Highly Urban/ Urban
46,4887,1,39,1,16,12054.36967,No,0,Yes,z_F,<High School,Student,28.06624321,Commercial,15760,4,Pickup,no,1738,2,Yes,4,1,Highly Urban/ Urban
48,2214,0,26,3,9,33283.09242,No,104322.5152,Yes,M,Bachelors,z_Blue Collar,37.1604757,Commercial,7690,10,Pickup,no,0,0,No,2,16,Highly Urban/ Urban
49,6087,0,42,0,12,136343.7947,No,0,z_No,z_F,PhD,Doctor,45.25904589,Private,13160,1,Sports Car,no,0,0,No,0,17,Highly Urban/ Urban
50,3894,0,39,0,12,32936.11043,No,169721.4796,z_No,z_F,z_High School,Clerical,12.40616516,Private,1500,6,z_SUV,no,0,0,No,0,7,Highly Urban/ Urban
51,2659,1,45,3,0,0,Yes,0,z_No,M,z_High School,Home Maker,36.22025164,Private,16510,4,Minivan,no,17445,3,Yes,0,1,Highly Urban/ Urban
52,3705,0,62,0,12,22181.48424,No,185458.8394,z_No,z_F,z_High School,Clerical,23.82346578,Private,17880,7,Sports Car,no,9873,3,No,5,1,Highly Urban/ Urban
53,6693,0,53,0,15,84345.18012,No,264549.4956,Yes,z_F,Bachelors,Manager,35.8243038,Private,9930,4,z_SUV,no,0,0,No,3,5,Highly Urban/ Urban
54,4380,0,42,0,10,43173.63322,No,208811.157,z_No,M,<High School,z_Blue Collar,48.4305554,Commercial,10020,13,Pickup,yes,0,0,No,0,1,Highly Urban/ Urban
55,1826,0,31,2,14,30652.9423,Yes,0,z_No,z_F,z_High School,Clerical,41.19071361,Private,12930,13,Sports Car,no,35666,2,Yes,0,7,Highly Urban/ Urban
56,6716,3,36,4,0,NA,No,0,Yes,z_F,z_High School,Student,54.38495068,Private,1500,4,z_SUV,no,0,0,No,5,10,Highly Urban/ Urban
57,4644,1,45,2,17,111268.3117,No,288070.9657,Yes,z_F,Masters,Lawyer,46.39943249,Private,24600,1,Van,no,28026,2,Yes,2,10,Highly Urban/ Urban
58,53571.21408,0,36,3,11,49703.42492,Yes,253131.8996,z_No,M,Masters,,37.3219695,Commercial,42550,1,Panel Truck,yes,35879,1,Yes,0,20,Highly Urban/ Urban
59,4257,0,53,0,13,25288.54263,No,108139.1586,Yes,z_F,<High School,Home Maker,30.84344493,Private,13850,1,z_SUV,no,0,0,No,0,7,Highly Urban/ Urban
61,2832,0,32,3,13,30955.01786,Yes,111255.5434,z_No,z_F,z_High School,Clerical,9.269535821,Private,7800,4,z_SUV,no,0,0,Yes,0,8,Highly Urban/ Urban
65,4658,1,39,2,15,61369.9036,Yes,0,z_No,M,Masters,Manager,6.448685045,Commercial,21770,6,Van,yes,35577,3,Yes,0,12,Highly Urban/ Urban
66,5259,0,54,0,11,44781.81586,No,148676.161,z_No,z_F,<High School,Clerical,82.61145278,Private,30260,3,z_SUV,no,0,0,No,0,9,Highly Urban/ Urban
67,3769,2,45,2,12,30085.32061,No,128193.5835,Yes,M,<High School,Clerical,43.69786089,Commercial,7200,4,Pickup,no,0,0,Yes,3,8,Highly Urban/ Urban
69,4363.237582,0,44,0,8,32317.31421,No,0,z_No,M,z_High School,Clerical,68.37962907,Private,22450,7,Minivan,yes,3738,1,No,8,1,Highly Urban/ Urban
70,5523,0,47,0,NA,21281.93453,No,0,Yes,M,z_High School,Student,39.71076852,Commercial,18150,1,Van,no,6544,1,No,3,NA,Highly Urban/ Urban
71,7390.439959,0,64,0,13,61521.48327,No,248877.7202,Yes,z_F,Masters,Lawyer,40.50100216,Private,7650,1,Sports Car,no,0,0,No,8,9,Highly Urban/ Urban
72,1164.988066,0,34,1,9,105554.3537,Yes,229868.0464,z_No,M,Masters,Lawyer,75.2429745,Private,5300,4,Minivan,no,7504,2,No,2,20,Highly Urban/ Urban
73,2362,1,42,1,3,69290.2134,Yes,0,z_No,M,Masters,,30.35428387,Commercial,23900,4,Panel Truck,yes,1052,2,No,1,11,Highly Urban/ Urban
74,6142,0,NA,2,8,2954.141221,Yes,0,z_No,z_F,<High School,Clerical,20.64757595,Private,3100,9,Sports Car,yes,10099,2,No,4,5,Highly Urban/ Urban
77,5075,0,50,0,13,2656.766602,No,109134.0226,Yes,z_F,Masters,Home Maker,63.34254361,Private,10480,13,Sports Car,no,20452,2,Yes,2,11,Highly Urban/ Urban
78,680,0,57,0,12,NA,No,0,z_No,z_F,z_High School,Clerical,19.42590174,Private,11650,4,z_SUV,no,10231,1,No,0,1,Highly Urban/ Urban
79,2287,1,42,2,12,68090.40983,Yes,169854.289,z_No,z_F,Bachelors,z_Blue Collar,44.83097562,Commercial,11750,1,Minivan,no,9261,1,No,3,12,Highly Urban/ Urban
80,6195,0,45,2,4,25031.76105,Yes,0,z_No,z_F,z_High School,Clerical,34.08976118,Commercial,6100,1,Pickup,yes,5771,1,No,5,1,z_Highly Rural/ Rural
81,4862,0,54,0,12,52078.33629,No,194226.5371,Yes,M,Masters,,51.04542646,Commercial,23250,1,Panel Truck,yes,5039,1,No,4,18,Highly Urban/ Urban
82,9775.641342,0,25,1,9,51544.43316,Yes,NA,z_No,z_F,z_High School,z_Blue Collar,44.03149922,Commercial,20630,1,z_SUV,no,7767,2,No,8,1,Highly Urban/ Urban
84,3418,0,29,1,8,73842.01449,Yes,0,z_No,z_F,z_High School,z_Blue Collar,24.50890014,Commercial,22340,1,Sports Car,no,4769,1,No,4,1,Highly Urban/ Urban
85,4423,1,45,2,0,0,Yes,0,z_No,M,<High School,Student,32.52587199,Private,6000,1,Pickup,no,41818,1,Yes,3,1,Highly Urban/ Urban
86,2328,0,41,1,13,109957.3023,No,260748.9075,Yes,z_F,Masters,Lawyer,49.81881515,Private,29470,6,Sports Car,no,0,0,No,1,18,Highly Urban/ Urban
88,6880,0,62,0,12,33712.64957,No,171810.1608,Yes,z_F,Bachelors,z_Blue Collar,25.89368779,Commercial,23470,4,Sports Car,no,41913,3,Yes,0,15,Highly Urban/ Urban
89,3644,0,36,0,13,20891.37315,No,134406.1056,Yes,z_F,z_High School,z_Blue Collar,39.46701804,Commercial,5100,1,z_SUV,no,2949,2,No,9,7,Highly Urban/ Urban
90,4758,0,35,2,10,17492.76645,Yes,102902.3587,z_No,z_F,<High School,Clerical,51.79297955,Private,19340,9,Minivan,no,5658,3,No,7,1,Highly Urban/ Urban
91,4875,0,45,3,14,94324.78284,No,301739.1339,Yes,M,Masters,Lawyer,55.31937696,Private,6960,1,z_SUV,no,0,0,No,2,14,Highly Urban/ Urban
93,5395,0,32,2,9,60049.83017,Yes,212562.4686,z_No,z_F,z_High School,Clerical,30.74937401,Private,11480,1,Minivan,no,17493,4,Yes,2,1,Highly Urban/ Urban
94,5021,2,39,2,11,NA,Yes,0,z_No,z_F,Bachelors,Manager,15.62481718,Private,22920,1,Sports Car,no,0,0,No,0,10,Highly Urban/ Urban
95,2891.10285,0,32,4,15,4478.341531,Yes,0,z_No,z_F,<High School,Student,7.472455404,Private,6780,4,z_SUV,no,7181,3,No,5,8,Highly Urban/ Urban
96,3149,0,35,0,7,62036.46367,No,154297.298,Yes,M,z_High School,z_Blue Collar,5,Commercial,16370,4,Van,yes,3913,2,No,7,1,Highly Urban/ Urban
97,3602,0,64,0,15,40528.15278,No,208305.6669,Yes,z_F,z_High School,z_Blue Collar,53.51257132,Commercial,11950,7,Sports Car,no,5137,1,No,6,6,Highly Urban/ Urban
99,2449,0,44,1,11,75045.62077,No,244818.8988,Yes,M,z_High School,z_Blue Collar,56.33810893,Commercial,9000,4,Pickup,yes,3288,3,No,6,10,Highly Urban/ Urban
100,3259,0,40,1,12,39599.57172,Yes,193494.6365,z_No,z_F,z_High School,Clerical,36.85122135,Private,5460,1,Sports Car,no,4188,2,No,5,1,Highly Urban/ Urban
101,21823.07834,0,38,0,10,75431.95723,No,0,z_No,z_F,Bachelors,Manager,50.69083062,Private,16260,1,z_SUV,no,8035,3,No,0,13,Highly Urban/ Urban
102,3085,0,43,1,0,0,Yes,86117.55933,z_No,z_F,<High School,Home Maker,40.9560327,Private,14240,4,z_SUV,no,0,0,No,1,1,Highly Urban/ Urban
103,3593,0,55,0,0,0,No,68500.38172,Yes,z_F,Bachelors,Home Maker,10.70078807,Private,8560,6,Sports Car,no,3769,2,No,5,14,Highly Urban/ Urban
104,457.5563645,0,54,0,12,10616.87423,No,0,Yes,M,z_High School,Student,13.74904287,Commercial,7960,10,Pickup,no,1079,2,No,2,9,Highly Urban/ Urban
105,6143,0,46,0,8,140765.7553,No,375813.347,z_No,M,Masters,,41.01699168,Commercial,29220,13,Panel Truck,yes,0,0,No,1,13,Highly Urban/ Urban
108,5619.228565,0,42,2,11,34210.31233,No,186734.2613,Yes,M,z_High School,Clerical,34.0324406,Private,12880,6,Minivan,yes,1830,1,No,0,1,Highly Urban/ Urban
109,1766,0,46,0,NA,31176.83129,No,150101.5355,z_No,M,z_High School,Professional,40.73448114,Commercial,25420,9,Panel Truck,no,0,0,No,1,1,Highly Urban/ Urban
110,2262,0,51,0,13,65702.14547,No,0,z_No,z_F,Masters,Lawyer,26.82362994,Private,15820,1,z_SUV,no,7181,2,No,3,1,Highly Urban/ Urban
111,40151.70697,0,58,0,11,51869.71691,No,0,z_No,M,<High School,z_Blue Collar,35.57397154,Commercial,24520,4,Panel Truck,yes,0,0,Yes,5,1,Highly Urban/ Urban
112,1237,0,41,0,14,99959.15052,No,268154.2018,z_No,z_F,Masters,Lawyer,13.143433,Private,18850,6,Minivan,no,0,0,No,1,11,Highly Urban/ Urban
114,1650,1,37,2,0,0,Yes,0,z_No,z_F,<High School,Student,18.46276367,Private,1500,3,z_SUV,no,0,0,No,3,1,Highly Urban/ Urban
115,14833.6149,0,49,0,13,28591.85173,No,183205.8686,Yes,M,<High School,Clerical,31.45184383,Commercial,9260,1,Pickup,no,39892,3,Yes,6,1,Highly Urban/ Urban
116,1796,0,42,2,13,64766.06512,No,263986.3314,Yes,z_F,z_High School,z_Blue Collar,20.38198439,Commercial,11840,18,z_SUV,no,44414,1,Yes,1,1,Highly Urban/ Urban
117,4057,1,37,2,11,62426.39554,No,209547.9121,Yes,z_F,Bachelors,Manager,19.991359,Private,11440,13,z_SUV,no,981,1,No,0,NA,Highly Urban/ Urban
118,5177,0,25,1,12,40094.81041,Yes,0,z_No,M,z_High School,Clerical,37.88679535,Commercial,22720,3,Panel Truck,yes,1992,2,No,6,9,Highly Urban/ Urban
119,5287,1,40,2,7,52423.18082,No,150722.9408,Yes,z_F,z_High School,z_Blue Collar,29.80314055,Private,7420,6,Sports Car,no,0,0,No,2,1,Highly Urban/ Urban
121,3008,0,54,0,NA,62214.75479,No,244459.9444,Yes,z_F,z_High School,z_Blue Collar,29.8097693,Commercial,21840,1,Sports Car,no,6600,2,No,3,5,Highly Urban/ Urban
122,3943,0,49,0,8,37356.3377,No,133175.3745,Yes,M,z_High School,z_Blue Collar,63.26903238,Commercial,6400,1,Pickup,yes,7993,1,No,7,6,Highly Urban/ Urban
124,5363,0,37,3,17,6216.775779,No,0,Yes,z_F,z_High School,Student,27.49072358,Commercial,22260,10,Pickup,no,0,0,Yes,0,4,Highly Urban/ Urban
127,2872,0,40,0,5,57062.78859,No,0,z_No,z_F,Masters,Professional,45.78509389,Private,16250,10,Sports Car,no,0,0,No,0,19,Highly Urban/ Urban
130,4579,0,46,0,7,106408.5956,No,0,z_No,z_F,Masters,,42.37646993,Commercial,24410,6,Pickup,no,6948,1,No,0,18,Highly Urban/ Urban
132,4997,1,72,2,18,27624.53579,No,162414.5067,Yes,z_F,<High School,Clerical,31.75554627,Private,18960,6,Sports Car,no,8571,1,No,8,1,Highly Urban/ Urban
133,8662,2,36,3,13,28326.29482,No,145411.3463,Yes,z_F,<High School,Clerical,36.97470077,Commercial,26280,7,Pickup,no,39535,3,Yes,2,8,Highly Urban/ Urban
134,5952,0,63,0,15,26921.075,No,140455.2719,Yes,z_F,Bachelors,Manager,19.37071849,Private,14360,1,z_SUV,no,30288,1,Yes,2,11,Highly Urban/ Urban
136,5440,0,35,0,13,64487.8935,No,NA,Yes,M,z_High School,z_Blue Collar,37.46849501,Commercial,21820,1,Van,yes,1144,3,No,5,7,Highly Urban/ Urban
137,7719,0,33,2,9,31675.21527,No,159621.4931,Yes,z_F,z_High School,z_Blue Collar,24.88144083,Commercial,9130,7,Sports Car,no,32882,1,Yes,6,1,Highly Urban/ Urban
138,8289,1,39,2,7,66367.40477,No,NA,Yes,z_F,z_High School,z_Blue Collar,35.17275027,Commercial,5560,1,Sports Car,no,2949,2,No,3,1,Highly Urban/ Urban
139,2353,0,56,2,17,29523.52225,No,198106.8642,Yes,z_F,<High School,z_Blue Collar,52.0080434,Private,14250,14,z_SUV,no,0,0,No,1,7,Highly Urban/ Urban
140,2289,0,41,0,6,86227.05116,No,237057.4736,z_No,M,Masters,,28.17427669,Commercial,19530,9,Van,no,2948,3,No,2,17,Highly Urban/ Urban
142,3428,0,42,0,8,94591.18428,No,309643.676,z_No,M,<High School,z_Blue Collar,20.82167317,Commercial,17470,6,Van,yes,16121,3,Yes,3,8,Highly Urban/ Urban
143,4898,0,33,0,11,248.614532,No,0,z_No,z_F,z_High School,Student,30.16813294,Private,10590,11,z_SUV,no,0,0,No,1,11,Highly Urban/ Urban
144,4046,2,41,3,10,24861.5349,Yes,0,z_No,z_F,Bachelors,Student,26.08334263,Private,7790,1,Sports Car,no,1055,4,No,2,10,z_Highly Rural/ Rural
145,2812,0,50,0,0,0,No,113869.5469,Yes,z_F,z_High School,Home Maker,12.02530439,Private,6500,6,Sports Car,no,0,0,No,0,NA,Highly Urban/ Urban
146,5050,0,41,3,11,NA,No,159060.6923,Yes,z_F,z_High School,Professional,34.51305459,Private,9170,6,z_SUV,no,0,0,No,0,8,Highly Urban/ Urban
149,46858.30691,0,43,0,13,22623.01291,No,184773.1865,Yes,M,z_High School,Professional,14.80976136,Private,8060,1,Pickup,yes,0,0,No,2,1,Highly Urban/ Urban
150,2058,0,51,0,12,40759.5277,No,186222.6265,z_No,M,Bachelors,Professional,24.45160155,Private,11880,1,Pickup,no,0,0,No,0,8,Highly Urban/ Urban
152,4313,0,27,3,9,69793.55832,Yes,0,z_No,z_F,Bachelors,Professional,24.29743928,Private,14660,4,z_SUV,no,2848,1,No,3,6,Highly Urban/ Urban
153,1736,0,33,1,11,25544.2197,Yes,0,z_No,z_F,<High School,z_Blue Collar,29.04603688,Private,4050,1,Sports Car,no,3971,2,No,0,1,Highly Urban/ Urban
154,4257,1,42,2,15,85408.05815,No,274402.4263,Yes,z_F,z_High School,z_Blue Collar,32.31676807,Commercial,20170,10,Minivan,no,697,2,No,0,8,Highly Urban/ Urban
155,3492,0,55,0,11,3864.526575,No,0,z_No,z_F,<High School,Home Maker,26.64660882,Private,16600,1,z_SUV,no,6089,2,Yes,0,1,Highly Urban/ Urban
158,3722,0,54,0,12,65298.10939,No,213225.4448,Yes,z_F,z_High School,Clerical,5,Private,8030,17,z_SUV,no,4528,3,No,5,1,Highly Urban/ Urban
159,6827,0,39,0,6,NA,No,0,z_No,z_F,Masters,Lawyer,51.40503103,Private,12880,3,Minivan,no,0,0,Yes,0,NA,z_Highly Rural/ Rural
160,1842.210893,0,27,4,13,50138.52192,No,167989.7978,Yes,z_F,z_High School,z_Blue Collar,21.64869735,Private,9210,1,z_SUV,no,1271,2,No,3,1,Highly Urban/ Urban
161,8798,0,47,0,NA,92543.42733,No,236446.2393,Yes,M,Masters,,51.6949148,Commercial,25250,6,Panel Truck,no,30450,2,Yes,4,9,Highly Urban/ Urban
162,5636,0,37,0,6,53895.28528,No,161773.9854,Yes,M,Bachelors,Clerical,44.22753904,Commercial,11250,17,Pickup,no,0,0,No,0,11,Highly Urban/ Urban
163,3414,0,43,2,12,60972.96216,Yes,0,z_No,z_F,Bachelors,z_Blue Collar,55.69961717,Commercial,5800,1,Sports Car,no,0,0,Yes,1,8,Highly Urban/ Urban
164,7161,0,36,0,10,85730.51809,No,0,z_No,z_F,Bachelors,z_Blue Collar,13.40621354,Commercial,21660,10,Pickup,no,4002,2,No,1,3,Highly Urban/ Urban
165,26305.26053,0,47,0,0,0,No,0,Yes,M,z_High School,Student,35.26903717,Commercial,11610,7,Pickup,yes,19545,1,Yes,0,1,z_Highly Rural/ Rural
166,5717,1,42,2,11,14166.18683,Yes,0,z_No,z_F,<High School,Student,36.07589012,Private,23280,6,Minivan,no,0,0,No,3,5,Highly Urban/ Urban
167,4306,0,31,2,0,0,No,0,Yes,z_F,<High School,Student,47.99664159,Private,7740,4,Sports Car,no,7323,1,No,7,1,Highly Urban/ Urban
168,1813,2,36,2,0,0,No,110346.2207,Yes,z_F,z_High School,Home Maker,28.21485235,Private,5100,4,Minivan,no,39425,3,Yes,1,9,Highly Urban/ Urban
169,2463,1,57,2,0,0,No,0,Yes,M,z_High School,Student,28.85954957,Private,9240,1,Pickup,yes,8336,2,Yes,5,1,Highly Urban/ Urban
170,465.004685,0,47,0,15,91221.1218,No,263877.2318,Yes,z_F,Bachelors,z_Blue Collar,30.66670238,Commercial,1500,4,Sports Car,no,5385,2,No,2,7,Highly Urban/ Urban
171,5016,0,44,0,10,146338.4425,No,0,z_No,M,Masters,,21.2987556,Commercial,22620,1,Panel Truck,no,37211,3,Yes,3,10,Highly Urban/ Urban
172,3354,0,47,0,12,47235.48762,No,205801.2962,z_No,M,z_High School,z_Blue Collar,26.5337257,Private,10920,4,Pickup,yes,9933,2,No,2,1,Highly Urban/ Urban
173,5911,0,48,0,10,7302.3125,No,NA,z_No,z_F,<High School,Student,27.48940381,Private,7030,10,z_SUV,no,3564,1,No,3,1,Highly Urban/ Urban
175,3998,0,58,0,14,37991.26687,No,NA,z_No,z_F,z_High School,Manager,22.75832605,Private,14000,4,Sports Car,no,0,0,Yes,2,1,Highly Urban/ Urban
176,3854,0,37,2,13,133335.0807,Yes,0,z_No,z_F,Bachelors,z_Blue Collar,15.39811427,Commercial,21740,1,z_SUV,no,975,2,No,6,13,Highly Urban/ Urban
177,3231,1,58,2,17,3271.592449,No,0,Yes,M,<High School,Student,42.05624653,Private,7200,1,Minivan,yes,5086,2,No,2,5,Highly Urban/ Urban
178,4611.023928,0,38,2,14,58832.76225,No,193644.4032,Yes,M,Bachelors,z_Blue Collar,40.93108005,Commercial,17680,1,Van,yes,0,0,Yes,2,10,Highly Urban/ Urban
179,917,0,72,0,16,63889.85805,No,256796.5964,Yes,z_F,Masters,Lawyer,41.21658017,Private,9100,7,Sports Car,no,4448,3,No,0,6,Highly Urban/ Urban
180,9162.096359,0,40,0,9,5252.670336,No,77462.9603,z_No,z_F,z_High School,Student,23.21106213,Commercial,23600,4,Pickup,no,0,0,No,0,1,Highly Urban/ Urban
181,3829,0,32,3,8,NA,Yes,193565.6952,z_No,z_F,Bachelors,Clerical,42.70989535,Private,7080,4,Sports Car,no,0,0,No,0,11,Highly Urban/ Urban
182,4846,0,57,0,14,200771.9243,No,465303.6878,z_No,z_F,PhD,Doctor,26.99287643,Private,9270,1,z_SUV,no,0,0,No,0,NA,Highly Urban/ Urban
183,6409,0,53,0,13,108743.6076,No,333038.7556,Yes,M,Masters,,5,Commercial,5430,1,Pickup,yes,3267,1,No,0,NA,Highly Urban/ Urban
184,3844,0,44,1,11,48374.40295,No,215390.6757,Yes,M,z_High School,z_Blue Collar,47.86751636,Commercial,34640,1,Panel Truck,no,0,0,No,0,8,Highly Urban/ Urban
185,2595,0,27,0,8,NA,No,0,z_No,z_F,<High School,z_Blue Collar,35.45421765,Commercial,24340,1,Pickup,no,4599,1,No,2,4,Highly Urban/ Urban
187,22134.28419,0,35,0,11,85429.5081,No,0,z_No,z_F,Bachelors,z_Blue Collar,13.9205626,Commercial,13540,1,z_SUV,no,8062,2,No,2,1,Highly Urban/ Urban
188,60838.10394,0,48,0,11,81084.16305,No,0,z_No,z_F,Bachelors,Professional,41.52943692,Private,27360,1,Sports Car,no,2860,1,No,4,9,Highly Urban/ Urban
189,2705,0,36,0,12,204372.9551,No,NA,Yes,M,PhD,,19.81474036,Commercial,5100,6,Pickup,no,3423,3,No,0,20,Highly Urban/ Urban
190,16840.12083,3,62,3,16,33994.88198,No,136008.2637,Yes,M,<High School,z_Blue Collar,41.73994653,Private,7700,4,z_SUV,yes,8002,3,No,4,1,Highly Urban/ Urban
191,4423,0,55,0,10,39405.03083,No,161356.8803,Yes,M,Masters,,28.49023537,Commercial,10940,1,Pickup,yes,0,0,Yes,1,14,Highly Urban/ Urban
192,5363,0,59,0,12,155409.6551,No,422815.0973,Yes,M,Bachelors,Manager,40.12660307,Commercial,33330,7,Panel Truck,yes,4765,3,No,4,10,Highly Urban/ Urban
194,5494.697699,0,24,1,12,94565.86351,Yes,239141.618,z_No,z_F,Masters,,33.73879564,Private,3900,1,z_SUV,no,0,0,No,2,16,Highly Urban/ Urban
